name,type,nillable,substitutionGroup,annotation_documentation
DocumentEUDataPrivacyIndicator,niem-xs:boolean,true,,True if the data is protected under the EU Data Protection Regulation 2016-679 and should be treated differently; false otherwise.
DocumentEffectiveDate,nc:DateType,true,,"A date in which the content or action becomes enforceable, active, or effective."
DocumentEntrySubmitter,nc:PersonType,true,,A person who contributed an entry in a document.
DocumentExpirationDate,nc:DateType,true,,A date after which the document is no longer valid. It may indicate a document should be removed from a registry or index.
DocumentFileControlID,niem-xs:string,true,,An identifier assigned to a document to locate it within a file control system.
DocumentFileExtensionText,nc:TextType,true,,"A file extension of an electronic document.  The file extension should correspond appropriately with the document format information, if provided."
DocumentFileName,nc:TextType,true,,A file name of an electronic document.
DocumentFiledDate,nc:DateType,true,,A date a document was officially filed with an organization or agency.
DocumentFormatCategoryText,nc:TextType,true,nc:DocumentFormatCategoryAbstract,A kind of classification system used to define the specific format of a binary object or file.
DocumentFormatText,nc:TextType,true,nc:DocumentFormatAbstract,"A file format, content type (e.g., a MIME type), or physical format of a document."
DocumentGroupID,niem-xs:string,true,,An identifier of a group to which a document belongs.
DocumentIdentification,nc:IdentificationType,true,,An identification that references a document.
DocumentInformationCutOffDate,nc:DateType,true,,A date after which contributions to the content of a document will no longer be accepted.
DocumentIssuanceLocation,nc:LocationType,true,,A location from which a document was issued.
DocumentIssueDate,nc:DateType,true,,"A date at which a document was issued and when appropriate, signed or otherwise authenticated."
DocumentKeywordText,nc:TextType,true,nc:DocumentKeywordAbstract,A significant word or phrase that describes the overall content of a document or its main topic.
DocumentLanguage,nc:LanguageType,true,,A language of the content of the resource.
DocumentLastModifiedDate,nc:DateType,true,,A date a document was last changed.
DocumentLocation,nc:LocationType,true,,A location of a physical document.
DocumentLocationURI,niem-xs:anyURI,true,,A location of an electronic representation of a document.
DocumentManagementCyclePeriodText,nc:TextType,true,,A review or update cycle period for a document.
DocumentMediaCategoryText,nc:TextType,true,nc:DocumentFormatAbstract,"A kind of media type, also known as a MIME type, which indicates the nature and format of a document."
DocumentOtherRecipient,nc:EntityType,true,,A name of additional addressees.
DocumentPermanentRecordIndicator,niem-xs:boolean,true,,True if a document is to be kept as a permanent record; false otherwise.
DocumentPhysicalMediumCategoryText,nc:TextType,true,nc:DocumentPhysicalMediumCategoryAbstract,A kind of class that describes the media format of a document.
DocumentPhysicalMediumText,nc:TextType,true,,A material or physical carrier for storing a document.
DocumentPostDate,nc:DateType,true,,A date a document is entered or posted to an information system or network; used when the date of posting is different from the date on which a document was officially filed.
DocumentPrivacyActIndicator,niem-xs:boolean,true,,True if a document is categorized as containing personal information subject to protection by the Privacy Act; false otherwise.
DocumentPublicationDate,nc:DateType,true,,A date of the first public dissemination of the content in any media.
DocumentReceivedDate,nc:DateType,true,,A date a transmitted document was received.
DocumentRecipient,nc:EntityType,true,,An entity that is a target or intended recipient of a document.
DocumentRelatedResourceText,nc:TextType,true,,A reference to another document or resource related to the document.
DocumentRelationText,nc:TextType,true,nc:DocumentRelationAbstract,A relationship between documents.
DocumentRightsText,nc:TextType,true,,"A right held in and over the resource. Rights are the constraints applied to assure the protection of privacy or intellectual property, and any special restrictions, limitations or warning on using a shared resource."
DocumentSensitivityText,nc:TextType,true,nc:DocumentSensitivityAbstract,"A characterization of the sensitivity, security, or privacy level of a document."
DocumentSequenceID,niem-xs:string,true,,An identifier that determines the document order in a set of related documents.
DocumentSoftware,nc:SoftwareType,true,,A name of a computer application used to process a document.
DocumentSource,nc:EntityType,true,,An entity that was the source of a document.
DocumentSourceText,nc:TextType,true,,A source from which the content of a document is derived.
DocumentStatus,nc:StatusType,true,,A status of a document.
DocumentSubjectText,nc:TextType,true,nc:DocumentSubjectAbstract,A main topic of a document.
DocumentSubmissionAmount,nc:AmountType,true,,A fee or price required to submit a document.
DocumentSubmitter,nc:EntityType,true,,An entity responsible for making the resource available.
DocumentSummaryText,nc:TextType,true,,"A short description of the subject, content, and key points of a document."
DocumentSupplementalMarkingText,nc:TextType,true,,A marking made on a document that is not part of the original content and that was added after a document was finalized.
DocumentText,nc:TextType,true,nc:DocumentContentAbstract,A text or contents of a document.
DocumentTitleAlternativeText,nc:TextType,true,,A title used as a substitute or alternative to the formal title of a document.
DocumentTitleText,nc:TextType,true,,A name given to a document.
DocumentVitalIndicator,niem-xs:boolean,true,,True if a document is categorized as a vital record by the originating agency; false otherwise.
Drug,nc:DrugType,true,,A legal or illegal substance that can be used as a medicine or a narcotic.
DrugClassScheduleText,nc:TextType,true,nc:DrugClassScheduleAbstract,A class to which the Drug Enforcement Agency (DEA) has assigned the product under the Controlled Substances Act of 1970.
DrugCoverageExceptionReasonText,nc:TextType,true,,A reason why a drug may be excluded from coverage by certain third-party programs.
DrugDaysSupplyQuantity,nc:QuantityType,true,,A number of days a quantity of the drug will cover if used as directed or intended.
DrugMeasure,nc:SubstanceMeasureType,true,,A measurement of a quantity of drugs.
DrugStrengthText,nc:TextType,true,,A level of potency of a drug.
EducationDescriptionText,nc:TextType,true,,A description of a person's educational background.
EducationInProgressIndicator,niem-xs:boolean,true,,True if a person's formal education is still in progress; false otherwise.
EducationLevel,nc:EducationLevelType,true,,A highest level of education reached by a person.
EducationLevelText,nc:TextType,true,nc:EducationLevelRepresentation,A level of education reached by a person.
EducationQualification,nc:EducationQualificationType,true,,"A degree, certificate, credit, or other educational qualification obtained by a person."
EducationQualificationDescriptionText,nc:TextType,true,,A description of an educational qualification.
EducationQualificationExpirationDate,nc:DateType,true,,A date on which an educational qualification becomes no longer valid.
EducationQualificationInstitution,nc:OrganizationType,true,,"An organization such as a college, school, or certification body which issues a qualification to a person."
EducationQualificationIssuedDate,nc:DateType,true,,A date on which an educational qualification was issued.
EducationQualificationLevel,nc:EducationLevelType,true,,A level of education for the given qualification.
EducationQualificationText,nc:TextType,true,nc:EducationQualificationRepresentation,"A degree, certificate, credit, or other educational qualification obtained by a person."
EducationStatus,nc:StatusType,true,,A status of a person's education.
EffectiveDate,nc:DateType,true,,A date that information take effect.
ElectronicAddress,nc:ElectronicAddressType,true,,"An address, ID, or Uniform Resource Locator (URL) that uniquely identifies a specific site on the Internet or another network."
ElectronicAddressDescriptionText,nc:TextType,true,,"A description of a network address, such as what the site is used for or a name of an online forum or group that is reached at the address."
ElectronicEquipment,nc:ItemType,true,,An electronic device.
ElectronicInstrument,nc:ItemType,true,,An electronic tool or instrument.
Email,nc:MessageType,true,,An electronic form of communication that can be exchanged asynchronously.
Employee,nc:PersonType,true,,A person who works for a business or a person.
EmployeeAssignmentAssociation,nc:EmployeeAssignmentAssociationType,true,,An association between an employee and a position or post for which that employee has been temporarily assigned to for some period of time.
EmployeeContactInformation,nc:ContactInformationType,true,,A means of contacting a person at work.
EmployeeFullTimeIndicator,niem-xs:boolean,true,,True if a person has full-time employment; false otherwise.
EmployeeHoursDailyQuantity,nc:QuantityType,true,,A number of hours spent at workplace or working in a typical work day.
EmployeeHoursFixedIndicator,niem-xs:boolean,true,,True if the number of hours that employee works each week is fixed; false if the hours are flexible.
EmployeeHoursMonthlyQuantity,nc:QuantityType,true,,A typical number of hours spent at workplace or working in a typical month.
EmployeeHoursWeeklyQuantity,nc:QuantityType,true,,A number of hours spent at workplace or working in a typical week.
EmployeeID,niem-xs:string,true,nc:SystemUserNameAbstract,An identifier for a person in the form of an employee id.
EmployeeIdentification,nc:IdentificationType,true,,An employment identification number assigned to a person.
EmployeeOccupationCategoryText,nc:TextType,true,nc:EmployeeOccupationCategoryAbstract,A general kind of job of an employee.
EmployeeOccupationText,nc:TextType,true,nc:EmployeeOccupationAbstract,A job of an employee.
EmployeePayHourlyIndicator,niem-xs:boolean,true,,True if a person is paid on an hourly basis; false if a person is salaried.
EmployeePosition,nc:EmploymentPositionType,true,,"A job, post, or group of duties and responsibilities performed by an employee."
EmployeeRankText,nc:TextType,true,nc:EmployeeRankAbstract,"A rank, status, or promotion level of a person within an employment organization."
EmployeeRegistrationIdentification,nc:IdentificationType,true,nc:EmployeeRegistrationAbstract,An identification of a registration of an employee.
EmployeeSchedule,nc:ScheduleType,true,,A plan for the days and hours that a person will work.
EmployeeScheduleFixedIndicator,niem-xs:boolean,true,,True if an employee's weekly scheduled hours are fixed; false if the scheduled hours are flexible.
EmployeeShiftText,nc:TextType,true,nc:EmployeeShiftAbstract,A set of hours or time frame during which a person usually works.
EmployeeSupervisor,nc:PersonType,true,,A person who oversees and manages an employee.
EmployeeSupervisorIndicator,niem-xs:boolean,true,,True if the employee is a supervisor; false otherwise.
Employer,nc:EmployerType,true,,An organization or person that employs a person.
EmploymentLengthDuration,niem-xs:duration,true,nc:EmploymentLengthAbstract,A duration over which the given employment has lasted.
EmploymentLocation,nc:LocationType,true,,A location where a person works.
EmploymentPayRateAmount,nc:AmountType,true,nc:EmployeePayAbstract,A monetary compensation a person receives for employment.
EmploymentPosition,nc:EmploymentPositionType,true,,"A job, post, or group of duties and responsibilities."
EmploymentPositionBargainingUnitText,nc:TextType,true,nc:EmploymentPositionBargainingUnitAbstract,A bargaining unit representing an employment position.
EmploymentPositionBasisCode,nc:EmploymentPositionBasisCodeType,true,nc:EmploymentPositionBasisAbstract,"A nature or duration of the position, such as permanent, non-permanent, or contractor."
EmploymentPositionBasisText,nc:TextType,true,nc:EmploymentPositionBasisAbstract,"A nature or duration of the position, such as permanent, non-permanent, or contractor."
EmploymentPositionDepartmentName,nc:TextType,true,,A name of a department or other business unit associated with a job position.
EmploymentPositionDutyText,nc:TextType,true,,A job duty that will be performed for an employment position.
EmploymentPositionEssentialIndicator,niem-xs:boolean,true,,True if the employment position is deemed to perform an essential service; false otherwise.
EmploymentPositionEssentialLanguage,nc:LanguageType,true,,A language required for an employment position.
EmploymentPositionIdentification,nc:IdentificationType,true,,An identification of an employment position.
EmploymentPositionLocation,nc:LocationType,true,,A location for an employment position.
EmploymentPositionName,nc:TextType,true,nc:EmploymentPositionAbstract,A job name or title of an employment position.
EmploymentPositionOrganizationAssociation,nc:EmploymentPositionOrganizationAssociationType,true,,An association between an employee position and an organization.
EmploymentPositionRequiredEducationText,nc:TextType,true,nc:EmploymentPositionRequiredEducationAbstract,A kind of educational level or certification required for an employment position.
EmploymentPositionRequiredJobSkillText,nc:TextType,true,nc:EmploymentPositionRequiredJobSkillAbstract,A job skill that is required for this position.
EmploymentPositionSupervisoryPosition,nc:EmploymentPositionType,true,,A position responsible for supervising or managing this position.
EmploymentPositionTemporaryIndicator,niem-xs:boolean,true,,True if the position is temporary in nature; false if it is permanent.
EmploymentStatus,nc:StatusType,true,,A status of employment for a person.
EmptyReasonCode,nc:EmptyReasonCodeType,true,nc:EmptyReasonAbstract,A reason why a data value was not provided.
EmptyReasonDescriptionText,nc:TextType,true,,A description for why a data value was not provided.
EmptyReasonText,nc:TextType,true,nc:EmptyReasonAbstract,A reason why a data value was not provided.
EncounterCategoryText,nc:TextType,true,nc:EncounterCategoryAbstract,A kind of encounter.
EncounterClassification,nc:EncounterClassificationType,true,,A classification of encounter.
EncounterCommentText,nc:TextType,true,,A comment related to the encounter.
EndDate,nc:DateType,true,,An end date.
EndTime,niem-xs:time,true,,An end time.
Entity,nc:EntityType,true,,"A person, organization, or item."
EntityContactInformation,nc:ContactInformationType,true,,A set of contact information for an entity.
EntityDescriptionText,nc:TextType,true,,A description of an entity.
EntityItem,nc:ItemType,true,nc:EntityRepresentation,An item capable of bearing legal rights and responsibilities.
EntityLegalIndicator,niem-xs:boolean,true,,True if an entity is capable of bearing legal rights and responsibilities; false otherwise.
EntityName,nc:TextType,true,,A name of an entity.
EntityOrganization,nc:OrganizationType,true,nc:EntityRepresentation,An organization capable of bearing legal rights and responsibilities.
EntityPerson,nc:PersonType,true,nc:EntityRepresentation,A person capable of bearing legal rights and responsibilities.
Equipment,nc:EquipmentType,true,,A tangible property (other than land or buildings) of more or less durable nature which is useful in carrying on the operations of a business.
EquipmentIdentification,nc:IdentificationType,true,,An identification of a piece of equipment.
EquipmentName,niem-xs:string,true,,A name of a piece of equipment.
ExpirationDate,nc:DateType,true,,A date after which information is no longer valid.
Facility,nc:FacilityType,true,,"A single or set of buildings, places, or structures that together provide a particular service."
FacilityAssociation,nc:FacilityAssociationType,true,,An association between facilities.
FacilityCapacityDescriptionText,nc:TextType,true,,A description of the number of people a facility can manage at a time.
FacilityCapacityQuantity,niem-xs:nonNegativeInteger,true,,A number of people a facility can manage at a time.
FacilityCategory,nc:FacilityFunctionType,true,,A category of facility.
FacilityContactInformation,nc:ContactInformationType,true,,A method of contact for a facility.
FacilityContainsItem,nc:ItemType,true,,An item contained by a facility.
FacilityDescriptionText,nc:TextType,true,,A description of a facility.
FacilityDocumentAssociation,nc:FacilityDocumentAssociationType,true,,An association between a facility and a document.
FacilityFunctionText,nc:TextType,true,nc:FacilityFunctionAbstract,A purpose or use of a facility.
FacilityIdentification,nc:IdentificationType,true,,An identification assigned to a facility.
FacilityImageAssociation,nc:FacilityImageAssociationType,true,,An association between a facility and an image.
FacilityLocation,nc:LocationType,true,,A location of a facility.
FacilityMaxOccupancyQuantity,niem-xs:nonNegativeInteger,true,,A maximum number of people that are authorized by permit to be contained in a facility at the same time.
FacilityMemberCategoryText,nc:TextType,true,,A kind of occupant a facility manages.
FacilityName,nc:ProperNameTextType,true,,A name of a facility.
FacilityOperatingSchedule,nc:ScheduleType,true,,"A schedule providing the beginning and ending hours of operation by weekday, for a designated time period."
FacilityOperationalStatus,nc:StatusType,true,,An operational status of a facility.
FacilityPersonAssociation,nc:FacilityPersonAssociationType,true,,An association between a facility and a person.
FacilitySecurityLevelText,nc:TextType,true,nc:FacilitySecurityLevelAbstract,A level of security at which a facility operates.
FacilitySiteAssociation,nc:FacilitySiteAssociationType,true,,An association between a facility and a site.
FacilitySiteDiagram,nc:ImageType,true,,A diagram of the layout of a facility.
FacilitySubFacilityAssociation,nc:FacilitySubFacilityAssociationType,true,,An association between a facility and its sub-facility.
FacilitySystemIPAddressID,niem-xs:string,true,,An IP address of a computing system that supports a facility's activities.
FacilitySystemIdentification,nc:SystemIdentificationType,true,,An identification of a computing system that supports a facility's activities.
FacilityUsage,nc:FacilityFunctionType,true,,A functional usage of a facility.
Fee,nc:ObligationType,true,,An amount of money charged.
FinancialAccount,nc:FinancialAccountType,true,,A financial account maintained by a financial institution.
FinancialAccountCategoryText,nc:TextType,true,,A kind of account or financial service maintained by a financial institution.
FinancialAccountClosedIndicator,niem-xs:boolean,true,,True if the account was closed or transferred in its entirety during the calendar year; false otherwise.
FinancialAccountHolder,nc:FinancialAccountHolderType,true,,An entity that holds a financial account.
FinancialAccountHolderCode,nc:FinancialAccountHolderCodeType,true,,A kind of financial account holder.
FinancialAccountListedName,nc:TextType,true,,A name of a person or organization appearing on a financial account.
FinancialAccountNumberCategoryCode,nc:FinancialAccountNumberCategoryCodeType,true,nc:IdentificationCategoryAbstract,A kind of financial account number.
FinancialAccountNumberID,niem-xs:string,true,,An identifier assigned to a type of financial account.
FinancialAccountPresentBalanceAmount,nc:AmountType,true,,An account balance at the time of financial compilation.
FinancialObligationExemptionAmount,nc:AmountType,true,,An amount of an exemption from a payment obligation.
FingerprintTakenIndicator,niem-xs:boolean,true,,True if a fingerprint biometric was taken; false otherwise.
FiscalYearDate,nc:FiscalYearDateType,true,nc:DateRepresentation,A year of a twelve month period that does not necessarily correspond to the calendar year.
FullTelephoneNumber,nc:FullTelephoneNumberType,true,nc:TelephoneNumberAbstract,A full telephone number.
GenericEntity,nc:GenericEntityType,true,nc:EntityRepresentation,A basic set of information about a person or an organization.
GeographicCoordinateLatitude,nc:LatitudeCoordinateType,true,,A measurement of the angular distance between a point on the Earth and the Equator.
GeographicCoordinateLongitude,nc:LongitudeCoordinateType,true,,A measurement of the angular distance between a point on the Earth and the Prime Meridian.
GeographicDatumText,nc:TextType,true,nc:GeographicDatumAbstract,A spatial reference system.
HazardousMaterial,nc:SubstanceType,true,,A substance which can cause harm.
HazmatCodeText,nc:TextType,true,nc:HazmatAbstract,A hazardous material.
HexBinaryObject,niem-xs:hexBinary,true,nc:BinaryObjectAbstract,A hexadecimal binary encoding of data.
Highway,nc:HighwayType,true,,A major public road.
HighwayFullText,nc:TextType,true,,A complete reference to a highway.
HighwayID,niem-xs:string,true,,An identifier of a highway.
HighwayName,nc:TextType,true,,A name of a highway.
HighwayPositionText,nc:TextType,true,,A designation of a specific place on a highway.
IPv4AddressID,niem-xs:string,true,,"An identifier assigned to a computer or other device connected to a TCP/IP network, based on version 4 of the Internet Protocol."
IPv6AddressID,niem-xs:string,true,,"An identifier assigned to a computer or other device connected to a TCP/IP network, based on version 6 of the Internet Protocol."
Identification,nc:IdentificationType,true,,An identification to represent an identity.
IdentificationCategoryDescriptionText,nc:TextType,true,,A description of a kind of identification.
IdentificationCategoryText,nc:TextType,true,nc:IdentificationCategoryAbstract,A kind of identification.
IdentificationEffectiveDate,nc:DateType,true,,A date an identification takes effect.
IdentificationExpirationDate,nc:DateType,true,,A date after which an identification is no longer valid.
IdentificationID,niem-xs:string,true,,An identifier.
IdentificationJurisdiction,nc:JurisdictionType,true,,"An area, region, or unit where a unique identification is issued."
IdentificationSourceText,nc:TextType,true,,"A person, organization, or locale which issues an identification."
IdentificationStatus,nc:StatusType,true,,A status of an identification.
Identity,nc:IdentityType,true,,"A set of known aspects, identifiers, and/or characteristics by which a person is defined or recognized."
IdentityCharacteristics,nc:PersonType,true,,A set of person characteristics used as an identification.
IdentityCreationDate,nc:DateType,true,,A date an identity is created.
IdentityCreationEventText,nc:TextType,true,,An occurrence that leads to the creation of an identity.
IdentityStolenIndicator,niem-xs:boolean,true,,True if the identity of the associated person is known to have been used by someone else (not the rightful identity holder) for the purpose of committing fraud; false otherwise.
IdentityTerminationDate,nc:DateType,true,,A date an identity is cancelled or terminated.
IdentityTerminationEventText,nc:TextType,true,,An occurrence that leads to the termination of an identity.
Image,nc:ImageType,true,,A picture or visual representation of something.
ImageHeightValue,niem-xs:nonNegativeInteger,true,,A height of an image in pixels.
ImageLocation,nc:LocationType,true,,A physical location where an image is stored.
ImageWidthValue,niem-xs:nonNegativeInteger,true,,A width of an image in pixels.
Incident,nc:IncidentType,true,,An occurrence or an event that may require a response.
IncidentDayPeriodText,nc:TextType,true,,A general time of day during which an incident occurred.
IncidentEvent,nc:ActivityType,true,,An action or occurrence associated with an incident.
IncidentJurisdictionalOrganization,nc:OrganizationType,true,,An organization or agency who has jurisdiction over an incident.
IncidentObservationText,nc:TextType,true,,A remark about something noticed with regards to an incident.
IncidentReportedNarrative,nc:DocumentType,true,,A document containing an account of the events that transpired in an incident.
IncidentVehicleAssociation,nc:ActivityConveyanceAssociationType,true,,An association between an incident and a vehicle.
Inclination90PlusMinusValue,nc:Degree90PlusMinusType,true,nc:InclinationAbstract,"An angle of rotation of a thing about its lateral axis, measured in degrees between the longitudinal axis and the horizontal plane; negative values indicate a downward rotation."
Inclination90Value,nc:Degree90Type,true,nc:InclinationAbstract,An orientation of an object with respect to the horizontal plane.
InclinationDecimalValue,niem-xs:decimal,true,nc:InclinationAbstract,An orientation of an object with respect to the horizontal plane.
Injury,nc:InjuryType,true,,A form of harm or damage sustained by a person.
InjuryCategoryText,nc:TextType,true,nc:InjuryCategoryAbstract,A kind of bodily harm or injury.
InjuryCauserPerson,nc:PersonType,true,nc:InjuryCauserAbstract,A person who caused an injury.
InjuryDate,nc:DateType,true,,A date on which an injury occurred.
InjuryDescriptionText,nc:TextType,true,,A description of an injury.
InjuryLocationText,nc:TextType,true,nc:InjuryLocationAbstract,A place on the body of a person where an injury occurred.
InjurySeverityText,nc:TextType,true,nc:InjurySeverityAbstract,A degree of the seriousness or intensity of an injury.
InjurySustainer,nc:PersonType,true,,A person who receives or sustains an injury.
InjuryTreatment,nc:TreatmentType,true,,A treatment provided to a person for the care of an injury.
InstantMessengerScreenID,niem-xs:string,true,,An account identifier used to reference a person or organization within an instant messaging system.
InstantMessengerServiceName,nc:TextType,true,,A name of an instant messaging service.
Insurance,nc:InsuranceType,true,,A coverage by a contract whereby one party agrees to indemnify or guarantee another against loss by a specified contingent event or peril.
InsuranceActiveIndicator,niem-xs:boolean,true,,True if an insurance policy is active; false otherwise.
InsuranceCancellationDate,nc:DateType,true,,A date an insurance policy is voided or revoked.
InsuranceCarrierIdentification,nc:IdentificationType,true,,An identification of a company which underwrites an insurance policy.
InsuranceCarrierName,nc:TextType,true,,A name of a company which underwrites an insurance policy.
InsuranceCertifiedDate,nc:DateType,true,,A date a person is certified as having the necessary insurance coverage.
InsuranceCoverageCategoryText,nc:TextType,true,nc:InsuranceCoverageCategoryAbstract,A kind of insurance coverage.
InsuranceCoveredItem,nc:ItemType,true,,A property item that is covered by an insurance policy.
InsuranceEffectiveDateRange,nc:DateRangeType,true,,A date range during which an insurance policy coverage is in effect.
InsurancePersonalIndicator,niem-xs:boolean,true,,True if an insurance coverage is for a personal use; false if it is for commercial or corporate use.
InsurancePolicyHolder,nc:EntityType,true,,An entity which holds an insurance policy for a property item.
InsurancePolicyIdentification,nc:IdentificationType,true,,An identification assigned to an insurance policy by an insurance carrier.
IntangibleItem,nc:IntangibleItemType,true,,An intellectual property item.
IntellectualItemBusinessAreaText,nc:TextType,true,,A business or functional area in which an intellectual item is useful.
IntellectualProperty,nc:IntellectualPropertyType,true,,A property that results from original thought or creativity.
IntellectualPropertyCreationDate,nc:DateType,true,,A date that a piece of intellectual property came into existence.
IntellectualPropertyCreationEventText,nc:TextType,true,,An event that led to the creation of intellectual property.
IntellectualPropertyRegistrationDate,nc:DateType,true,,A date when intellectual property rights began for the registered owner.
IntellectualPropertyRegistrationIdentification,nc:IdentificationType,true,,An identification of a piece of intellectual property.
IntellectualPropertyTerminationDate,nc:DateType,true,,A date when intellectual property is destroyed and/or property or registration rights cease to exist.
IntellectualPropertyTerminationEventText,nc:TextType,true,,An event that led to the destruction of a piece of intellectual property and/or the termination of registration rights.
InternationalTelephoneNumber,nc:InternationalTelephoneNumberType,true,nc:TelephoneNumberAbstract,An international telephone number.
Item,nc:ItemType,true,,An article or thing.
ItemActionText,nc:TextType,true,,An action that was taken against a property item.
ItemAgeMeasure,nc:TimeMeasureType,true,,An age of an item.
ItemBarCodeIdentification,nc:IdentificationType,true,,A bar code identification assigned to a property item.
ItemBinary,nc:BinaryType,true,,A binary representation of an item.
ItemBrandName,nc:ProperNameTextType,true,,A distinctive name that identifies a manufacturer of a property item.
ItemBuyer,nc:EntityType,true,,A party that bought a property item in a property transaction.
ItemCategoryText,nc:TextType,true,nc:ItemCategoryAbstract,A kind of property item.
ItemColorDescriptionText,nc:TextType,true,,A description of the overall color of an item.
ItemConditionText,nc:TextType,true,nc:ItemConditionAbstract,A state or appearance of an item.
ItemContainerAssociation,nc:ItemContainerAssociationType,true,,An association between an item and something in which it is held.
ItemCurrentLocationAssociation,nc:ItemLocationAssociationType,true,,An association between an item and its current location.
ItemCurrentResaleValue,nc:ItemValueType,true,,An amount of money for which an item could currently be sold.
ItemDealerIdentification,nc:IdentificationType,true,,An identification assigned to an item by a dealer.
ItemDescriptionText,nc:TextType,true,,A description of an item.
ItemDisposition,nc:ItemDispositionType,true,,A result or outcome that happens to an item after it has been handled or processed.
ItemDispositionLocation,nc:LocationType,true,,A location of a property item after it has been processed.
ItemDispositionLocationAssociation,nc:ItemLocationAssociationType,true,,An association between an item and disposition location.
ItemEntityAssociation,nc:ItemEntityAssociationType,true,,An association between an item and an entity.
ItemFirstSoldYearDate,niem-xs:gYear,true,,A calendar year in which an item was first sold.
ItemHeightMeasure,nc:LengthMeasureType,true,,A measurement of the height of an item.
ItemHolderAssociation,nc:ItemEntityAssociationType,true,,An association between an item and the entity holding or storing that item.
ItemHoldingOrganization,nc:OrganizationType,true,,An organization that is in possession of a property item.
ItemImage,nc:ImageType,true,,A binary representation of an image of an item.
ItemInsuranceAssociation,nc:ItemInsuranceAssociationType,true,,An association between an item and its insurance.
ItemLeaseIndicator,niem-xs:boolean,true,,True if an item is leased; false otherwise.
ItemLengthMeasure,nc:LengthMeasureType,true,,A measurement of the length of an item.
ItemLocationAssociation,nc:ItemLocationAssociationType,true,,An association between an item and a location.
ItemMakeName,nc:ProperNameTextType,true,nc:ItemMakeAbstract,A name of the manufacturer that produced an item.
ItemModelName,nc:ProperNameTextType,true,,A name of a specific design or kind of item made by a manufacturer.
ItemModelYearDate,niem-xs:gYear,true,,A year in which an item was manufactured or produced.
ItemMoverAssociation,nc:ItemEntityAssociationType,true,,An association between an item and an entity that moved that item.
ItemMovingOrganization,nc:OrganizationType,true,,An organization that moves or relocates a property item.
ItemName,nc:TextType,true,,A name of an item.
ItemOtherIdentification,nc:IdentificationType,true,,An identification assigned to an item.
ItemOwner,nc:EntityType,true,,An entity which owns a property item.
ItemOwnerAppliedID,niem-xs:string,true,,An identifier applied to an item by the owner.
ItemOwnerAssociation,nc:ItemEntityAssociationType,true,,An association between an item and its owner.
ItemOwnerPurchasedValue,nc:ItemValueType,true,,An amount of money a current owner paid to purchase a property item.
ItemOwnershipCategoryText,nc:TextType,true,nc:ItemOwnershipCategoryAbstract,A kind of ownership of an item.
ItemPossessionDescriptionText,nc:TextType,true,,A description of how or why a party other than the owner came to possess a property item.
ItemPossessor,nc:EntityType,true,,An entity other than the owner which has possession of an item.
ItemPossessorAssociation,nc:ItemEntityAssociationType,true,,An association between an item and the entity in possession of it.
ItemPurchasePriceValue,nc:ItemValueType,true,,An amount of money a buyer paid a seller for a property item.
ItemQuantity,nc:QuantityType,true,,A count of the individual units which make up an item.
ItemRFIdentification,nc:IdentificationType,true,,An identification of an item based on radio waves.
ItemReceiptIdentification,nc:IdentificationType,true,,An identification issued to an item when taken into possession for official purposes.
ItemRentalIndicator,niem-xs:boolean,true,,True if an item is rented; false otherwise.
ItemSalesTaxPercent,nc:PercentType,true,,A tax rate as a percentage used for computing the sales tax on the purchase of an item.
ItemSeller,nc:EntityType,true,,An entity that sells a property item.
ItemSerialIdentification,nc:IdentificationType,true,,"An identification inscribed on or attached to a part, collection of parts, or complete unit by the manufacturer."
ItemSizeDescriptionText,nc:TextType,true,,A description of the size or physical dimensions of an item.
ItemStateIdentification,nc:IdentificationType,true,,A state-assigned identification for an item.
ItemStatus,nc:StatusType,true,,A status of an item.
ItemStyleText,nc:TextType,true,nc:ItemStyleAbstract,A style of a property item.
ItemTransaction,nc:ItemTransactionType,true,,A transfer of ownership of an item.
ItemUsageText,nc:TextType,true,,A manner or way in which an item is used.
ItemValue,nc:ItemValueType,true,,An evaluation of the monetary worth of an item.
ItemValueAmount,nc:AmountType,true,,A monetary value of an item.
ItemValueAssigner,nc:EntityType,true,,An entity which assigns a value to an item.
ItemValueAssigningMethodText,nc:TextType,true,nc:ItemValueAssigningMethodAbstract,A method used to assign a value to an item.
ItemValueDate,nc:DateType,true,,A date an item value takes effect.
ItemValueDescriptionText,nc:TextType,true,,A description of the monetary worth of an item.
ItemValueTaxIncludedIndicator,niem-xs:boolean,true,,True if taxes were included in the item value; false otherwise.
ItemVisibleID,niem-xs:string,true,,An identifier of an item that is visible on the item itself.
ItemWeightMeasure,nc:WeightMeasureType,true,,A measurement of the weight of an item.
ItemWidthMeasure,nc:LengthMeasureType,true,,A measurement of the width of an item.
Jurisdiction,nc:JurisdictionType,true,,"A geopolitical area in which an organization, person, or object has a specific range of authority."
JurisdictionDescriptionText,nc:TextType,true,,A description of an area an organization or person has some kind of authoritative capacity or responsibility over.
JurisdictionIdentification,nc:IdentificationType,true,,An identification of a jurisdiction.
JurisdictionLocation,nc:LocationType,true,,A location of a jurisdiction.
JurisdictionRestrictionText,nc:TextType,true,,A restriction or limitation of a jurisdiction.
JurisdictionText,nc:TextType,true,nc:JurisdictionAbstract,An area in which an organization or person has some kind of authoritative capacity or responsibility over.
