name,annotation_documentation,is_abstract
SystemOperatingModeAbstract,A data concept for the operating mode of a system.,true
SystemUserNameAbstract,A data concept for a user name associated with a system audit event.,true
TaskAugmentationPoint,An augmentation point for type nc:TaskType,true
TaskFunctionAbstract,"A data concept for a function, assignment, or task that is part of a plan.",true
TelecommunicationDeviceSIMCardAssociationAugmentationPoint,An augmentation point for TelecommunicationDeviceSIMCardAssociationType.,true
TelephoneNumberAbstract,A data concept for a telephone number.,true
TelephoneNumberAugmentationPoint,An augmentation point for TelephoneNumberType.,true
TelephoneNumberCategoryAbstract,A data concept for a kind of telephone number.,true
TemperatureMeasureAugmentationPoint,An augmentation point for type nc:TemperatureMeasureType,true
TemperatureUnitAbstract,A data concept for a unit of measure for temperature.,true
TimeMeasureAugmentationPoint,An augmentation point for type nc:TimeMeasureType,true
TimeRangeAugmentationPoint,An augmentation point for TimeRangeType.,true
TimeUnitAbstract,A data concept for a unit of measure for amount of time.,true
TransportationAssociationAugmentationPoint,An augmentation point for TransportationAssociationType.,true
TreatmentAugmentationPoint,An augmentation point for nc:TreatmentType.,true
UnsignedIntegerRangeAugmentationPoint,An augmentation point for UnsignedIntegerRangeType.,true
VehicleAugmentationPoint,An augmentation point for VehicleType.,true
VehicleColorInteriorAbstract,A data concept for a color of the interior of a vehicle.,true
VehicleMakeAbstract,A data concept for a manufacturer of a vehicle.,true
VehicleModelAbstract,A data concept for a specific design or class of vehicle made by a manufacturer.,true
VehicleTransmissionCategoryAbstract,A data concept for a kind of transmission unit in a vehicle.,true
VelocityMeasureAugmentationPoint,An augmentation point for VelocityMeasureType.,true
VesselAugmentationPoint,An augmentation point for VesselType.,true
VesselCategoryAbstract,A data concept for a kind of vessel.,true
VesselHullMaterialAbstract,A data concept for a substance used as the primary construction material of the main body or frame of a vessel.,true
VesselHullShapeAbstract,A data concept for a shape of the main body or frame of a vessel.,true
VesselMakeAbstract,A data concept for a manufacturer of a vessel.,true
VesselPropulsionAbstract,A data concept for a mode by which a vessel is designed to move through the water.,true
VolumeMeasureAugmentationPoint,An augmentation point for type nc:VolumeMeasureType,true
VolumeUnitAbstract,A data concept for a unit of measure for volume.,true
WeaponAugmentationPoint,An augmentation point for WeaponType.,true
WeaponUsageAbstract,A data concept for a way or manner in which a weapon was used.,true
WeightMeasureAugmentationPoint,An augmentation point for type nc:WeightMeasureType,true
WeightUnitAbstract,A data concept for a unit of measure for weight.,true
